-1.66,0.043532,0.00093368,3.429e-05,0.0057643,0,0.049223,0.02133,0,0,0.048359,0,0.19948,0.079016,0.0023532,0,0.0022884,0
0.45081,-0.15173,0.0058739,7.7479e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09639,0.033784,-0.0073549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05259,0.00093555,1.4327e-05,-0.00016418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.049379,0.00056379,4.0893e-06,4.0218e-07,-0.025758,0,0.0307,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.019994,-0.021375,0,0,0,0.0038976,0,0,0,0,0,0,0,0
0.19967,0.0035045,2.5418e-05,2.4999e-06,0,0,-0.17462,0.0020215,0,0,0,0,0,0,0,0,0.022011,0
0.075394,0.00012339,8.9497e-07,8.8022e-08,0,0,0.093506,-0.027647,0,0,0,0.0073484,0,0,0.0007473,0,0,0
0,0,0,0,0,0.021087,0,0.0042956,-0.0068931,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0018527,-0.012416,0,0,0,0,0,0,0,0.0055028
0.0039378,0.0004118,2.9868e-06,2.9376e-07,0,0,0.0011945,0,0,0,-0.085496,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.037137,-0.0080848,0,0,0,0,0,0
0.22807,0.0041109,2.9817e-05,2.9325e-06,0,0,0,0,0,0,0,0,-0.21712,0,0,0.00070358,0,0
0.40689,0.0055184,4.0025e-05,3.9365e-06,0,0,0,0,0,0,0,0,0.0092383,-0.1389,0,0,0,0
0.10987,0,0,0,0,0,0,0,0,0,0,0,0,0.051333,-0.0058467,0.00035062,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0083993,0,0.0027462,-0.0019606,0,0.01649
0.016267,1.4306e-05,1.0376e-07,1.0205e-08,0,0,0,0,0,0,0,0,0,0.0085517,0,0,-0.045886,0.010028
0,0,0,0,0,0,0,0,0.0050403,0,0,0,0,0,0,0,0.021586,-0.032327
